parameter,value
tau_A,5
tau_P,10
tau_B,15
tau_M,25
tau_H,60
beta_A,0.2
beta_P,0.45
beta_B,0.75
gamma,0.35
G0,120
M0,5
H0,6
tau_W,45
beta_W,-0.3
tau_G,3
G_min,70
G_max,400
M0_healthy,8.5
BMI_ref,22
k_BMI,0.59
E_ref,150
beta_E,0.15
beta_Str,0.1
delta_smoke,0.12
Sugar_ref,2
beta_Sugar,0.2
kappa_metformin,0.15
kappa_sglt2i,0.1
kappa_glp1,0.2
kappa_insulin,15
beta_S,1
k_med,3.5
G_healthy_ref,90
gamma_chronic,6
p1_SG_healthy,0.021
p1_SG_floor_ratio,0.5238095238095237
p2_Bergman,0.025
p3_base,1.5e-05
n_clearance,0.15
gamma_pancreas,0.02
Ib_basal,10
k_abs_base,0.03
Vg,130
fast_dt_min,15
f_carb_bioavail,300
